Time,Distance,Speed,Throttle,Brake,RPM,Gear,DRS,X,Y,AirTemp_C,TrackTemp_C
0.0,0.051313808494105384,297.24166826666664,100.0,0,10854.482952533333,7,12,-375.51149016656075,1370.5835207336413,17.9,20.9
0.039,3.288371960134251,297.56666666666666,100.0,0,10777.133333333333,7,12,-374.0,1402.0,17.9,20.9
0.091,7.615555555555552,298.0,100.0,0,10674.0,8,12,-372.14754999026275,1441.7507054726266,17.9,20.9
0.218,18.23139115624005,300.3812512,100.0,0,10739.8812832,8,12,-368.0,1535.0,17.9,20.9
0.251,20.993333333333332,301.0,100.0,0,10757.0,8,12,-366.8478339719325,1560.9087256713292,17.9,20.9
0.458,38.32744885986562,301.7366551998076,100.0,0,10831.402175180567,8,12,-359.0,1736.0,17.9,20.9
0.532,44.56611111111111,302.0,100.0,0,10858.0,8,12,-356.1544473241535,1798.7341126524248,17.9,20.9
0.698,58.68344128282252,304.964288,100.0,0,10934.4786304,8,12,-350.0,1939.0,17.9,20.9
0.812,68.44388888888889,307.0,100.0,0,10987.0,8,12,-346.168765004344,2036.708853136199,17.9,20.9
0.817,68.87275768416782,307.04166826666665,100.0,0,10987.861144177778,8,12,-346.0,2041.0,17.9,20.9
1.077,91.25216860983649,309.20833493333333,100.0,0,11032.638921955555,8,12,-337.0,2264.0,17.9,20.9
1.172,99.44388888888888,310.0,100.0,0,11049.0,8,12,-333.8929846465537,2345.768282653967,17.9,20.9
1.257,106.77356675513086,310.3541674666667,100.0,0,11058.916689066667,8,12,-331.0,2419.0,17.9,20.9
1.412,120.17722222222221,311.0,100.0,0,11077.0,8,12,-324.92876530048966,2552.4665995117884,17.9,20.9
1.577,134.5797945005401,312.83333546666665,100.0,0,11107.2500352,8,12,-318.0,2695.0,17.9,20.9
1.772,151.6772222222222,315.0,100.0,0,11143.0,8,12,-310.04251687666886,2865.006081196043,17.9,20.9
1.797,153.86554533012958,315.0,100.0,0,11143.0,8,12,-309.0,2887.0,17.9,20.9
1.917,164.36385697232888,315.0,100.0,0,11143.0,8,12,-304.0,2992.0,17.9,20.9
1.932,165.6772222222222,315.0,100.0,0,11143.0,8,12,-303.4183079467121,3004.638841462708,17.9,20.9
2.172,186.7438888888889,316.0,100.0,0,11225.0,8,12,-294.34531270262335,3216.8359479142,17.9,20.9
2.197,188.94460991548124,316.12500096,100.0,0,11225.50000384,8,12,-293.0,3248.0,17.9,20.9
2.357,203.05815652365106,316.92500096,100.0,0,11228.70000384,8,12,-283.0,3477.0,17.9,20.9
2.572,222.07722222222222,318.0,100.0,0,11233.0,8,12,-276.5741447471031,3633.1702186759762,17.9,20.9
2.818,243.87478629174188,318.8785718857143,100.0,0,11233.0,8,12,-271.0,3795.0,17.9,20.9
2.852,246.88833333333332,319.0,100.0,0,11233.0,8,12,-269.3876430300336,3839.3888351183123,17.9,20.9
3.017,261.5126301490148,319.0,100.0,0,11262.3906592,8,12,-260.0,4096.0,17.9,20.9
3.172,275.24388888888893,319.0,100.0,0,11290.0,8,12,-253.0370589066122,4290.137240365801,17.9,20.9
3.412,296.5105555555556,319.0,100.0,0,11318.0,8,12,-246.45568999955563,4474.421793352636,17.9,20.9
3.438,298.8235825627218,319.21666773333334,100.0,0,11319.083338666667,8,12,-246.0,4486.0,17.9,20.9
3.652,317.9105555555556,321.0,100.0,0,11328.0,8,12,-243.43591685276894,4544.5204192973815,17.9,20.9
3.678,320.2254963999576,320.9071424,100.0,0,11330.6000128,8,12,-243.0,4557.0,17.9,20.9
3.932,342.7994444444445,320.0,100.0,0,11356.0,8,12,-235.94913154629603,4778.7689044285835,17.9,20.9
3.958,345.11419499431804,320.10833386666667,100.0,0,11353.7249888,8,12,-235.0,4806.0,17.9,20.9
4.118,359.3820549768952,320.77500053333335,100.0,0,11339.7249888,8,12,-229.0,4967.0,17.9,20.9
4.172,364.19944444444445,321.0,100.0,0,11335.0,8,12,-227.61371393716968,5004.468209577778,17.9,20.9
4.318,377.22160641517985,321.0,100.0,0,11354.62188222369,8,12,-225.0,5085.0,17.9,20.9
4.478,391.4880186394016,321.0,100.0,0,11376.125295945287,8,12,-221.0,5227.0,17.9,20.9
4.611,403.3436111111111,321.0,100.0,0,11394.0,8,12,-216.79269053499132,5347.1342147038995,17.9,20.9
4.758,416.4443692831554,321.0,100.0,0,11397.062501333334,8,12,-212.0,5477.0,17.9,20.9
4.851,424.74361111111114,321.0,100.0,0,11399.0,8,12,-209.324888921307,5559.984788141947,17.9,20.9
4.898,428.94373534700134,321.16785737142857,100.0,0,11393.460706742857,8,12,-208.0,5602.0,17.9,20.9
5.131,449.7880555555556,322.0,100.0,0,11366.0,8,12,-201.2155987377458,5809.9500370618025,17.9,20.9
5.238,459.33365399580146,321.6656248,100.0,0,11380.3781336,8,12,-198.0,5905.0,17.9,20.9
5.438,477.1602612345994,321.0406248,100.0,0,11407.2531336,8,12,-192.0,6084.0,17.9,20.9
5.451,478.3213888888889,321.0,100.0,0,11409.0,8,12,-191.63668531847517,6096.090020324461,17.9,20.9
5.611,492.63250000000005,322.0,100.0,0,11323.0,8,12,-187.52444607505817,6250.486799135661,17.9,20.9
5.718,502.2037490397988,322.0,100.0,0,11313.064279771428,8,12,-185.0,6352.0,17.9,20.9
5.891,517.6769444444445,322.0,100.0,0,11297.0,8,12,-181.14147630215587,6504.928420625305,17.9,20.9
6.118,537.990381127667,322.0,100.0,0,11325.375008,8,12,-176.0,6699.0,17.9,20.9
6.291,553.4547222222224,322.0,100.0,0,11347.0,8,12,-171.6606492633611,6854.738844827301,17.9,20.9
6.319,555.9546259667178,321.8833333333333,100.0,0,11344.783333333333,8,12,-171.0,6880.0,17.9,20.9
6.531,574.8547222222223,321.0,100.0,0,11328.0,8,12,-166.19193990819934,7069.744174549016,17.9,20.9
6.538,575.4779142501075,320.79583146666664,97.08330666666667,0,11328.729173333333,8,12,-166.0,7076.0,17.9,20.9
6.698,589.6452535003971,316.1291648,30.41664,0,11345.39584,8,12,-161.0,7218.0,17.9,20.9
6.771,595.7880555555557,314.0,0.0,1,11353.0,8,8,-158.7882490156698,7280.38690360573,17.9,20.9
6.898,605.7533393882989,296.0581595227762,0.0,1,10778.157503141496,8,8,-155.0,7387.0,17.9,20.9
7.119,621.2940176413053,264.83655638099617,0.0,1,9777.84182601074,8,8,-148.0,7566.0,17.9,20.9
7.132,622.1611111111113,263.0,0.0,1,9719.0,8,8,-147.64924994647834,7574.514378762708,17.9,20.9
7.278,631.5288270797795,232.8874736,0.0,1,9385.0247072,8,8,-144.0,7658.0,17.9,20.9
7.292,632.3833333333336,230.0,0.0,1,9353.0,8,8,-143.60000849884665,7666.4574685504995,17.9,20.9
7.492,643.7166666666669,204.0,0.0,1,10097.0,8,8,-137.08417645181757,7794.714275882811,17.9,20.9
7.537,646.066335292134,198.374976,0.0,1,10129.85014016,8,8,-136.0,7815.0,17.9,20.9
7.692,653.6611111111114,179.0,0.0,1,10243.0,8,8,-133.80396351811856,7852.24019426884,17.9,20.9
7.738,655.7875852083326,174.9749888,0.0,1,10220.958272,8,8,-133.0,7864.0,17.9,20.9
7.932,664.1944444444447,158.0,0.0,1,10128.0,7,8,-127.07266609056005,7943.936266648641,17.9,20.9
7.998,666.8911756820452,153.5214198857143,0.0,1,9840.428013714285,7,8,-124.0,7976.0,17.9,20.9
8.212,675.0055555555558,139.0,0.0,1,8908.0,4,8,-111.33060784807304,8076.754362596146,17.9,20.9
8.218,675.2159168867797,138.36998656,0.0,1,8882.37945344,4,8,-111.0,8079.0,17.9,20.9
8.412,681.5611111111114,118.0,0.0,1,8054.0,3,8,-101.92370431805087,8128.7142514824645,17.9,20.9
8.538,685.3722467499468,112.95999488,0.0,1,7580.23951872,3,8,-93.0,8156.0,17.9,20.9
8.758,691.4996038374995,104.15999488,0.0,1,6753.03951872,3,8,-68.0,8214.0,17.9,20.9
8.812,692.8944444444446,102.0,0.0,1,6550.0,3,8,-62.27646015756965,8225.226250348504,17.9,20.9
8.917,695.4824009725404,97.01249088,0.0,1,6287.49952,3,8,-51.0,8244.0,17.9,20.9
9.177,701.3487966088248,84.66249088000001,0.0,1,5637.49952,3,8,-12.0,8290.0,17.9,20.9
