Time,Distance,Speed,Throttle,Brake,RPM,Gear,DRS,X,Y,AirTemp_C,TrackTemp_C
0.0,0.0211114412232678,276.84999936,100.0,0,10960.82495872,7,12,-7666.633758048915,-6535.579838876041,21.2,43.3
0.115,8.927777777777779,278.0,100.0,0,11035.0,7,12,-7673.315220779837,-6430.367766578536,21.2,43.3
0.129,10.016896856503852,278.15908945454544,100.0,0,11039.772683636364,7,12,-7674.0,-6420.0,21.2,43.3
0.448,35.08017351978516,281.78409018181816,100.0,0,11148.522705454545,7,12,-7681.0,-6265.0,21.2,43.3
0.555,43.51666666666667,283.0,100.0,0,11185.0,7,10,-7678.609123784441,-6184.2021832781165,21.2,43.3
0.629,49.34764470896633,283.36999936,100.0,0,11214.22994944,7,10,-7676.0,-6123.0,21.2,43.3
0.755,59.294444444444444,284.0,100.0,0,11264.0,7,8,-7670.51059637499,-6021.705739179757,21.2,43.3
0.955,75.12777777777778,285.0,100.0,0,11215.0,7,8,-7658.950003733465,-5865.025137112316,21.2,43.3
0.969,76.22014666137969,284.5187544,95.62504,0,11195.968924,7,8,-7658.0,-5854.0,21.2,43.3
1.149,90.0045520845153,278.3312544,39.37504,0,10951.281424,7,8,-7644.0,-5712.0,21.2,43.3
1.275,99.48333333333333,274.0,0.0,1,10780.0,7,8,-7631.827148928563,-5614.241334850691,21.2,43.3
1.409,109.37212560727933,264.7875088,0.0,1,10356.2254048,7,8,-7617.0,-5515.0,21.2,43.3
1.435,111.17222222222223,263.0,0.0,1,10274.0,7,8,-7613.942542064673,-5496.666507551449,21.2,43.3
1.608,121.79048303058507,233.8062608,0.0,1,10028.5563408,7,8,-7592.0,-5380.0,21.2,43.3
1.755,129.75,209.0,0.0,1,9820.0,7,8,-7571.044197693924,-5282.076664395594,21.2,43.3
1.829,133.62700968899415,199.750016,0.0,1,9764.500096,7,8,-7561.0,-5238.0,21.2,43.3
1.955,139.97222222222223,184.0,0.0,1,9670.0,7,8,-7545.96003445833,-5175.996652784193,21.2,43.3
2.069,145.3456962749603,175.4500096,0.0,1,9608.92864,7,8,-7533.0,-5126.0,21.2,43.3
2.235,152.65,163.0,0.0,1,9520.0,7,8,-7512.800518434502,-5051.208803653675,21.2,43.3
2.349,157.40879650835194,153.88001024,0.0,1,9937.23953152,7,8,-7499.0,-5002.0,21.2,43.3
2.435,160.8166666666667,147.0,0.0,1,10252.0,7,8,-7489.0238223520155,-4967.456568975125,21.2,43.3
2.629,167.85229998298786,134.48387061255613,0.0,1,9551.096754303142,7,8,-7467.0,-4897.0,21.2,43.3
2.689,169.94430846886624,130.61290020672703,0.0,1,9334.322411576713,7,8,-7460.0,-4877.0,21.2,43.3
2.714,170.8141666666667,129.0,0.0,1,9244.0,4,8,-7457.194262932984,-4868.915131799224,21.2,43.3
2.969,179.58826539366936,124.2187488,0.0,1,8832.8123968,4,8,-7423.0,-4786.0,21.2,43.3
3.034,181.74750000000003,123.0,0.0,0,8728.0,3,8,-7406.434494228839,-4759.459673534885,21.2,43.3
3.189,186.72507299809087,119.51249856,11.23750464,0,8609.8124512,3,8,-7362.0,-4697.0,21.2,43.3
3.434,194.41416666666672,114.0,29.0,0,8423.0,3,8,-7331.480245233574,-4661.034544717137,21.2,43.3
3.668,202.05996586173518,117.25000177777778,60.20001706666667,0,9026.85033031111,3,8,-7269.0,-4645.0,21.2,43.3
3.794,206.31416666666672,119.0,77.0,0,9352.0,3,8,-7196.89950173679,-4623.942084180667,21.2,43.3
3.808,206.7930418684441,119.48756618103131,78.60200316624574,0,9403.82131981247,3,8,-7190.0,-4622.0,21.2,43.3
3.995,213.34916666666672,126.0,100.0,0,10096.0,3,8,-7140.52518534055,-4610.939649129414,21.2,43.3
4.128,218.30009915885663,132.6499968,100.0,0,10550.19478144,3,8,-7113.0,-4608.0,21.2,43.3
4.195,220.9047222222223,136.0,100.0,0,10779.0,3,8,-7091.637748578045,-4605.165393028926,21.2,43.3
4.348,227.14352972967515,145.17999616,100.0,0,10938.88493312,3,8,-7028.0,-4597.0,21.2,43.3
4.395,229.1269444444445,148.0,100.0,0,10988.0,3,8,-7006.093684511227,-4594.788840614572,21.2,43.3
4.635,239.66027777777782,158.0,100.0,0,11745.0,3,8,-6872.06746405326,-4584.13278529292,21.2,43.3
4.669,241.19737256201012,159.4874944,100.0,0,11507.000896,3,8,-6848.0,-4582.0,21.2,43.3
4.795,246.99361111111116,165.0,100.0,0,10625.0,3,8,-6746.369734201278,-4572.233821519624,21.2,43.3
4.908,252.35417448793575,169.2374976,100.0,0,10736.116603733333,3,8,-6672.0,-4565.0,21.2,43.3
5.035,258.59361111111116,174.0,100.0,0,10861.0,3,8,-6641.519651893343,-4562.698426181321,21.2,43.3
5.168,265.405358751261,180.6499968,100.0,0,11108.7123808,3,8,-6613.0,-4559.0,21.2,43.3
5.275,270.9936111111112,186.0,100.0,0,11308.0,4,8,-6548.441948568314,-4548.933396988521,21.2,43.3
5.435,279.4380555555556,190.0,100.0,0,11554.0,4,8,-6419.364093724815,-4527.741247118395,21.2,43.3
5.469,281.27505474844,191.0818141090909,100.0,0,11534.604618472727,4,8,-6398.0,-4524.0,21.2,43.3
5.809,300.52503973315635,201.89999592727273,100.0,0,11340.650073018182,4,8,-6279.0,-4498.0,21.2,43.3
5.875,304.37138888888893,204.0,100.0,0,11303.0,4,8,-6253.24944465457,-4491.9556617016115,21.2,43.3
6.089,317.00532527959433,210.8785673142857,100.0,0,10977.414480457142,4,8,-6123.0,-4461.0,21.2,43.3
6.155,320.9380555555556,213.0,100.0,0,10877.0,5,8,-6056.318441555901,-4444.495909883022,21.2,43.3
6.268,327.7042991353198,215.1187488,100.0,0,11030.9624128,5,8,-5938.0,-4415.0,21.2,43.3
6.315,330.5380555555556,216.0,100.0,0,11095.0,5,8,-5901.749929179542,-4406.023282925963,21.2,43.3
6.515,342.7602777777778,220.0,100.0,0,11371.0,5,8,-5832.019421955007,-4389.290542166472,21.2,43.3
6.669,352.378583231917,223.3687472,100.0,0,11490.3499008,5,8,-5782.0,-4377.0,21.2,43.3
6.835,362.9380555555556,227.0,100.0,0,11619.0,5,8,-5685.343731219887,-4352.390391296341,21.2,43.3
6.968,371.52914445096826,229.95555413333332,100.0,0,11479.719511466667,5,8,-5599.0,-4330.0,21.2,43.3
7.189,386.04051178093255,234.86666382222222,100.0,0,11248.283467377778,5,8,-5461.0,-4294.0,21.2,43.3
7.195,386.4380555555556,235.0,100.0,0,11242.0,5,8,-5456.371944487225,-4292.841026011833,21.2,43.3
7.409,400.73828887642094,238.74499776,100.0,0,11048.86511552,5,8,-5269.0,-4248.0,21.2,43.3
7.595,413.32694444444445,242.0,100.0,0,10881.0,6,8,-5153.696200167587,-4224.753299968977,21.2,43.3
7.828,429.2708610825003,245.640624,100.0,0,11025.8968352,6,8,-5043.0,-4212.0,21.2,43.3
7.915,435.2825,247.0,100.0,0,11080.0,6,8,-4993.750687797661,-4208.465257424297,21.2,43.3
8.009,441.8164718610053,248.87999744,100.0,0,11105.37996544,6,8,-4919.0,-4202.0,21.2,43.3
8.115,449.2269444444445,251.0,100.0,0,11134.0,6,8,-4786.849361416301,-4187.041424708119,21.2,43.3
8.189,454.42282212310977,251.9249984,100.0,0,11217.5581888,6,8,-4699.0,-4176.0,21.2,43.3
8.355,466.1602777777778,254.0,100.0,0,11405.0,6,8,-4592.850331981211,-4158.957621153844,21.2,43.3
8.589,482.95173159300106,256.9249984,100.0,0,11478.12496,6,8,-4527.0,-4130.0,21.2,43.3
8.755,494.93805555555565,259.0,100.0,0,11530.0,6,8,-4420.488860188206,-4084.8417527962843,21.2,43.3
8.849,501.72419502869684,259.39166613333333,100.0,0,11146.167189333333,6,8,-4354.0,-4054.0,21.2,43.3
8.948,508.87358060097404,259.8041664,100.0,0,10741.916928,6,8,-4288.0,-4020.0,21.2,43.3
8.995,512.2713888888889,260.0,100.0,0,10550.0,6,8,-4258.336018377739,-4004.379349914864,21.2,43.3
9.149,523.4343193215491,260.9624992,100.0,0,10359.4251584,6,8,-4157.0,-3953.0,21.2,43.3
9.155,523.8713888888889,261.0,100.0,0,10352.0,7,8,-4152.292048846317,-3950.7956252313725,21.2,43.3
9.354,538.4647222222222,264.0,100.0,0,10441.0,7,8,-3964.766244522987,-3869.838309845003,21.2,43.3
9.449,545.4694119858375,264.95000064,100.0,0,10498.0000384,7,8,-3888.0,-3839.0,21.2,43.3
9.554,553.2425000000001,266.0,100.0,0,10561.0,7,8,-3828.7132161854615,-3816.9351422980017,21.2,43.3
9.749,567.7894766006112,267.8281256,100.0,0,10628.6406472,7,8,-3747.0,-3794.0,21.2,43.3
9.874,577.1536111111112,269.0,100.0,0,10672.0,7,8,-3669.665309446027,-3775.633340159112,21.2,43.3
10.087,593.132513041769,269.53249984,100.0,0,10801.39746112,7,8,-3499.0,-3742.0,21.2,43.3
10.268,606.7042477784669,269.98500032,100.0,0,10911.35507776,7,8,-3338.0,-3720.0,21.2,43.3
10.274,607.1536111111111,270.0,100.0,0,10915.0,7,8,-3333.0708851373615,-3719.4149566762585,21.2,43.3
10.434,619.1536111111111,270.0,100.0,0,10694.0,7,8,-3213.263709254637,-3706.2264076425963,21.2,43.3
10.448,620.2109938799982,270.260871639209,99.56521393465171,0,10707.739239665007,7,8,-3203.0,-3705.0,21.2,43.3
10.595,631.3627777777779,273.0,95.0,0,10852.0,7,8,-3093.550849368314,-3690.1211911536257,21.2,43.3
10.688,638.3674340485848,271.67142948571427,63.446450285714285,0,10715.157237028572,7,8,-3025.0,-3680.0,21.2,43.3
10.748,642.8574413819929,270.81428662857144,43.08930742857142,0,10626.871522742857,7,8,-2981.0,-3673.0,21.2,43.3
10.875,652.2850000000001,269.0,0.0,1,10440.0,7,8,-2872.4065113544852,-3645.432343655857,21.2,43.3
11.108,669.0756221312548,259.29166933333335,0.0,1,10057.491771733334,7,8,-2674.0,-3574.0,21.2,43.3
11.115,669.5516666666667,259.0,0.0,1,10046.0,7,8,-2669.8369162085064,-3572.2589431872916,21.2,43.3
11.408,687.6822505557732,231.69773323636363,0.0,1,10643.320324072727,7,8,-2562.0,-3508.0,21.2,43.3
11.555,696.1961111111111,218.0,0.0,1,10943.0,6,8,-2496.273903960212,-3454.483265249447,21.2,43.3
11.729,706.172553596259,207.56000768,0.0,1,11478.91960576,6,8,-2416.0,-3379.0,21.2,43.3
11.755,707.6405555555556,206.0,0.0,1,11559.0,5,8,-2406.1134330300956,-3367.95861430637,21.2,43.3
11.848,712.8298072115974,203.01071634285714,0.0,1,11535.085730742858,5,8,-2374.0,-3326.0,21.2,43.3
12.035,722.9627777777778,197.0,0.0,1,11487.0,5,8,-2312.80511129395,-3202.148851363299,21.2,43.3
12.188,730.9395719429557,190.98928822857144,1.0928566857142858,1,11148.760855771428,5,8,-2277.0,-3102.0,21.2,43.3
12.315,737.4294444444444,186.0,2.0,0,10868.0,4,8,-2263.7756905856786,-3044.027202605835,21.2,43.3
12.515,747.485,181.0,12.0,0,10719.0,4,8,-2263.0144563731137,-2983.207022720773,21.2,43.3
12.549,749.1473306237365,179.86667093333332,16.958314666666666,0,10688.8251136,4,8,-2263.0,-2973.0,21.2,43.3
12.755,759.0183333333333,173.0,47.0,0,10506.0,4,8,-2262.5772896436806,-2909.1166835684044,21.2,43.3
12.869,764.5574267511572,174.4249984,60.77498453333333,0,10680.324804266667,4,8,-2266.0,-2866.0,21.2,43.3
12.995,770.7516666666666,176.0,76.0,0,10873.0,4,8,-2275.023454142536,-2808.3671521492693,21.2,43.3
13.149,778.38381290752,177.64999862857144,74.35000137142858,0,10952.749933714285,4,8,-2292.0,-2733.0,21.2,43.3
13.275,784.6738888888889,179.0,73.0,0,11018.0,4,8,-2309.8635537219984,-2675.377121478316,21.2,43.3
13.328,787.330924408431,179.4968744,73.4968744,0,11036.7156024,4,8,-2321.0,-2648.0,21.2,43.3
13.595,800.8516666666667,182.0,76.0,0,11131.0,4,8,-2407.884828878318,-2483.0049595142195,21.2,43.3
13.628,802.545828645739,182.515624,75.8968752,0,11184.3155216,4,8,-2416.0,-2469.0,21.2,43.3
13.848,813.967885292322,185.953124,75.2093752,0,11539.7530216,4,8,-2451.0,-2417.0,21.2,43.3
13.915,817.4738888888888,187.0,75.0,0,11648.0,4,8,-2467.400593701287,-2395.298823310644,21.2,43.3
14.068,825.4695850843392,187.9562496,80.7374976,0,11259.7626624,4,8,-2522.0,-2325.0,21.2,43.3
14.075,825.8294444444444,188.0,81.0,0,11242.0,4,8,-2525.073416247413,-2321.143958141407,21.2,43.3
