Time,Distance,Speed,Throttle,Brake,RPM,Gear,DRS,X,Y,AirTemp_C,TrackTemp_C
0.0,0.029654385391460814,321.7178578285714,100.0,0,11422.142939428571,8,8,-1373.6920488346755,-678.5894695613653,33.7,47.9
0.042,3.7976625633506096,321.86785737142856,100.0,0,11440.142884571429,8,8,-1371.0,-645.0,33.7,47.9
0.079,7.121944444444452,322.0,100.0,0,11456.0,8,14,-1368.5074576119991,-613.7749273500212,33.7,47.9
0.222,20.012145102031216,323.7875008,100.0,0,11455.4041664,8,14,-1358.0,-484.0,33.7,47.9
0.319,28.788611111111116,325.0,100.0,0,11455.0,8,12,-1350.4251753430035,-397.24233117867516,33.7,47.9
0.562,50.87668477893522,326.65681861818183,100.0,0,11521.8250176,8,12,-1330.0,-177.0,33.7,47.9
0.759,68.8775,328.0,100.0,0,11576.0,8,12,-1312.3964707262073,19.722810341178572,33.7,47.9
0.802,72.81655816280625,328.54088109046296,100.0,0,11578.974845997547,8,12,-1309.0,58.0,33.7,47.9
0.918,83.4525,330.0,100.0,0,11587.0,8,12,-1301.1219614492497,146.90941121927125,33.7,47.9
1.022,92.98313981765726,330.0,100.0,0,11654.6,8,12,-1293.0,240.0,33.7,47.9
1.078,98.11916666666667,330.0,100.0,0,11691.0,8,12,-1287.2719534880687,306.4152484006522,33.7,47.9
1.278,116.50805555555556,331.0,100.0,0,11699.0,8,12,-1262.5907047520318,594.7465608580351,33.7,47.9
1.302,118.71868733318772,331.15,100.0,0,11709.2,8,12,-1260.0,625.0,33.7,47.9
1.438,131.26361111111112,332.0,100.0,0,11767.0,8,12,-1247.7169840289089,768.1596060766992,33.7,47.9
1.838,168.37472222222223,334.0,100.0,0,11827.0,8,12,-1225.2489304660087,1027.14430634814,33.7,47.9
1.842,168.74665345067694,334.02,100.0,0,11826.86,8,12,-1225.0,1030.0,33.7,47.9
2.038,186.98583333333332,335.0,100.0,0,11820.0,8,12,-1211.6192257615157,1183.4098358869114,33.7,47.9
