Time,Distance,Speed,Throttle,Brake,RPM,Gear,DRS,X,Y,AirTemp_C,TrackTemp_C
0.0,0.04027341473088053,261.2,100.0,0,11683.4,6,8,-1698.6591372900764,1284.9718108708344,14.4,21.7
0.064,4.711111111111113,262.0,100.0,0,11759.0,6,8,-1665.750597562613,1328.527384300081,14.4,21.7
0.09,6.613618953374273,262.3250016,100.0,0,11645.357773866666,6,8,-1654.0,1344.0,14.4,21.7
0.304,22.37777777777778,265.0,100.0,0,10710.0,7,8,-1591.8611177701594,1423.8346935321758,14.4,21.7
0.464,34.28888888888889,268.0,100.0,0,10643.0,7,8,-1546.6027525047325,1479.7727862939796,14.4,21.7
0.471,34.81389099042771,268.10500096,100.0,0,10647.2000384,7,8,-1544.0,1483.0,14.4,21.7
0.711,53.03009600434211,271.70500096,100.0,0,10791.2000384,7,8,-1432.0,1623.0,14.4,21.7
0.851,63.73892385162688,273.80500096,100.0,0,10875.2000384,7,8,-1367.0,1707.0,14.4,21.7
0.864,64.73333333333333,274.0,100.0,0,10883.0,7,8,-1361.514842870465,1714.267339339327,14.4,21.7
1.091,82.1163429073877,275.6214290285714,100.0,0,10965.692880457143,7,8,-1259.0,1855.0,14.4,21.7
1.144,86.19999999999999,276.0,100.0,0,10985.0,7,8,-1218.913864358579,1909.9984993119317,14.4,21.7
1.271,96.0411130797334,277.81428662857144,100.0,0,11027.182164114285,7,8,-1113.0,2055.0,14.4,21.7
1.424,107.97777777777776,280.0,100.0,0,11078.0,7,8,-1038.12759452353,2157.8867351009058,14.4,21.7
1.73,132.0271625631376,282.8687512,100.0,0,11231.9563144,7,8,-967.0,2256.0,14.4,21.7
1.744,133.13333333333333,283.0,100.0,0,11239.0,7,8,-961.0108768896876,2264.161303195481,14.4,21.7
1.83,139.9399873931494,283.64500096,100.0,0,11264.58503808,7,8,-920.0,2320.0,14.4,21.7
2.01,154.24527298470414,284.99500096,100.0,0,11318.13503808,7,8,-836.0,2435.0,14.4,21.7
2.144,164.91111111111113,286.0,100.0,0,11358.0,7,8,-774.0642745844227,2520.656836677078,14.4,21.7
2.304,177.66666666666666,287.0,100.0,0,11330.0,7,8,-699.7989562671137,2624.0939387271806,14.4,21.7
2.31,178.1469217701035,287.0642870857143,100.0,0,11332.421480228571,7,8,-697.0,2628.0,14.4,21.7
2.49,192.63270297412032,288.99285851428573,100.0,0,11405.064337371428,7,8,-613.0,2746.0,14.4,21.7
2.584,200.22222222222223,290.0,100.0,0,11443.0,7,8,-569.9388424702981,2808.081020731688,14.4,21.7
2.73,212.01382818535146,290.60833386666667,100.0,0,11464.291685333334,7,8,-504.0,2905.0,14.4,21.7
2.79,216.86783103177063,290.85833386666667,100.0,0,11473.041685333334,7,8,-477.0,2945.0,14.4,21.7
2.824,219.6222222222222,291.0,100.0,0,11478.0,7,8,-461.69963885200127,2967.7838733709145,14.4,21.7
3.11,242.88901727705385,292.5888896,100.0,0,11569.361152,7,8,-333.0,3162.0,14.4,21.7
3.184,248.92222222222222,293.0,100.0,0,11593.0,7,8,-299.793016715445,3212.270650767426,14.4,21.7
3.29,257.5677198577151,293.37992868704146,100.0,0,11220.669886699381,7,8,-252.0,3284.0,14.4,21.7
3.451,270.7241071946767,293.95698925717807,100.0,0,10655.15052796547,7,8,-178.0,3392.0,14.4,21.7
3.463,271.7072222222222,294.0,100.0,0,10613.0,7,8,-172.4224304513448,3400.031422152725,14.4,21.7
3.743,294.72944444444437,296.0,100.0,0,10535.0,8,8,-39.71291686272982,3587.2009992792973,14.4,21.7
3.81,300.24884326796996,296.2392859428571,100.0,0,10535.0,8,8,-7.0,3632.0,14.4,21.7
4.011,316.83633684594446,296.95714285714286,100.0,0,10535.0,8,8,92.0,3764.0,14.4,21.7
4.023,317.82944444444433,297.0,100.0,0,10535.0,8,8,97.7133872038325,3771.3995186406746,14.4,21.7
4.17,330.02353062083705,297.91588843182825,100.0,0,10580.336477375497,8,8,175.0,3867.0,14.4,21.7
4.344,344.4902777777777,299.0,100.0,0,10634.0,8,8,333.1593849809611,4044.8226385644903,14.4,21.7
4.43,351.63738124153235,299.0,100.0,0,10636.764289828572,8,8,396.0,4113.0,14.4,21.7
4.624,367.74583333333317,299.0,100.0,0,10643.0,8,8,445.5280554759426,4159.912473023633,14.4,21.7
4.67,371.56053591466525,298.8722218666667,100.0,0,10644.277781333334,8,8,456.0,4169.0,14.4,21.7
4.984,397.5458333333332,298.0,100.0,0,10653.0,8,8,621.9164536497435,4308.258494931401,14.4,21.7
5.071,404.7274505865053,297.68928548571427,100.0,0,10689.353598171429,8,8,718.0,4359.0,14.4,21.7
5.25,419.49065967466237,297.04999954285717,100.0,0,10764.150053485715,8,8,961.0,4459.0,14.4,21.7
5.264,420.6458333333332,297.0,100.0,0,10770.0,8,8,974.643530922194,4464.140444783586,14.4,21.7
5.55,444.2470023343886,297.0,100.0,0,10587.6749184,8,8,1089.0,4490.0,14.4,21.7
5.584,447.0458333333331,297.0,100.0,0,10566.0,8,8,1108.5006504207317,4492.312326836687,14.4,21.7
5.85,468.8652724934999,295.89166613333333,100.0,0,10544.941656533334,8,8,1337.0,4518.0,14.4,21.7
5.931,475.49335122640053,295.5541664,100.0,0,10538.5291616,8,8,1404.0,4520.0,14.4,21.7
6.064,486.3791666666665,295.0,100.0,0,10528.0,8,8,1507.9252794272368,4521.292137089836,14.4,21.7
6.171,495.139346850465,295.0,100.0,0,10533.08250304,8,8,1602.0,4518.0,14.4,21.7
6.464,519.1569444444443,295.0,100.0,0,10547.0,8,8,1922.9636866876167,4484.737142012867,14.4,21.7
6.491,521.3746068587061,295.1687504,100.0,0,10553.2437648,8,8,1945.0,4482.0,14.4,21.7
6.624,532.3124999999998,296.0,100.0,0,10584.0,8,8,2020.7207781563238,4471.794872085646,14.4,21.7
6.771,544.4379889289186,296.9187504,100.0,0,10642.8000256,8,8,2093.0,4462.0,14.4,21.7
6.784,545.5124999999998,297.0,100.0,0,10648.0,8,8,2101.6990328013153,4460.939978890848,14.4,21.7
6.971,561.0109492516865,297.93500032,100.0,0,10676.98500992,8,8,2256.0,4445.0,14.4,21.7
7.131,574.3203648846952,298.73500032,100.0,0,10701.78500992,8,8,2388.0,4439.0,14.4,21.7
7.184,578.7347222222221,299.0,100.0,0,10710.0,8,8,2429.4565693438135,4437.765388755231,14.4,21.7
7.384,595.4013888888887,300.0,100.0,0,10714.0,8,8,2592.3734213374355,4440.9693278628865,14.4,21.7
7.411,597.6466201647813,299.8312496,100.0,0,10706.0687312,8,8,2620.0,4444.0,14.4,21.7
7.544,608.6902777777775,299.0,100.0,0,10667.0,8,8,2780.4739014563565,4469.589418012123,14.4,21.7
7.711,622.5588294485685,299.0,100.0,0,10661.035712,8,8,2966.0,4508.0,14.4,21.7
7.824,631.9458333333331,299.0,100.0,0,10657.0,8,8,3025.2339050675328,4523.540787412805,14.4,21.7
7.951,642.4979404121074,299.0,100.0,0,10681.946441142858,8,8,3077.0,4546.0,14.4,21.7
8.104,655.2013888888886,299.0,100.0,0,10712.0,8,8,3196.3195550546034,4603.895449738036,14.4,21.7
8.309,672.1830892391705,298.53409105454546,100.0,0,10698.954549527272,8,8,3386.0,4705.0,14.4,21.7
8.544,691.6236111111109,298.0,100.0,0,10684.0,8,8,3525.177655661104,4802.164810042586,14.4,21.7
8.69,703.7051642820641,298.0,100.0,0,10683.26999936,8,8,3600.0,4866.0,14.4,21.7
8.91,721.9185006983067,298.0,100.0,0,10682.16999936,8,8,3735.0,4990.0,14.4,21.7
8.944,724.734722222222,298.0,100.0,0,10682.0,8,8,3761.4859639011092,5016.027081913164,14.4,21.7
9.131,740.2326377096518,298.5843752,100.0,0,10595.5124704,8,8,3924.0,5180.0,14.4,21.7
9.264,751.3124999999997,299.0,100.0,0,10534.0,8,8,4024.44277588752,5279.21097035399,14.4,21.7
9.45,766.8812687202407,299.77500053333335,100.0,0,10565.775021866666,8,8,4139.0,5389.0,14.4,21.7
9.504,771.3124999999997,300.0,100.0,0,10575.0,8,8,4167.305571939778,5415.694672237285,14.4,21.7
9.904,801.7569444444441,274.0,0.0,1,9769.0,8,8,4331.36734215938,5563.269559871229,14.4,21.7
9.951,804.9560467596309,266.5878052271701,0.0,1,9750.132595123705,8,8,4352.0,5581.0,14.4,21.7
10.183,819.5819444444442,230.0,0.0,1,9657.0,8,8,4472.419418145957,5682.22370193816,14.4,21.7
10.19,819.9990795712313,229.124992,0.0,1,9655.21498368,8,8,4477.0,5686.0,14.4,21.7
10.35,829.1697597311456,209.124992,0.0,1,9614.41498368,8,8,4589.0,5777.0,14.4,21.7
10.383,830.970833333333,205.0,0.0,1,9606.0,8,8,4607.597688233844,5791.5923333948085,14.4,21.7
10.583,841.3041666666663,186.0,0.0,1,9964.0,8,8,4674.207632137332,5837.882548420917,14.4,21.7
10.71,847.5901493899205,180.72298809493418,0.0,1,9969.277011905066,8,8,4711.0,5856.0,14.4,21.7
10.93,857.8428632188716,171.58171223609304,0.0,1,9978.418287763907,8,8,4800.0,5889.0,14.4,21.7
