Time,Distance,Speed,Throttle,Brake,RPM,Gear,DRS,X,Y,AirTemp_C,TrackTemp_C
0.0,0.16593226577854653,280.9666688,100.0,0,11159.0333952,7,12,1752.1165067481784,-904.7062493117496,17.0,24.9
0.062,5.054444444444439,282.0,100.0,0,11189.0,7,12,1798.0984785532225,-958.5980605187312,17.0,24.9
0.264,21.127159306110535,285.6071451428571,100.0,0,11266.192906057142,7,12,1906.0,-1085.0,17.0,24.9
0.342,27.37666666666666,287.0,100.0,0,11296.0,7,12,1930.5464831516233,-1113.7205454621226,17.0,24.9
0.563,45.173608102649396,289.36785645714286,100.0,0,11381.242832457143,7,12,1989.0,-1182.0,17.0,24.9
0.622,49.932222222222215,290.0,100.0,0,11404.0,7,12,2019.2533862595565,-1217.3662769570967,17.0,24.9
0.862,69.33222222222221,291.0,100.0,0,11533.0,7,12,2176.9317771465103,-1401.7507472505754,17.0,24.9
0.864,69.49504981583037,291.04000256,100.0,0,11533.4500288,7,12,2178.0,-1403.0,17.0,24.9
1.062,85.7211111111111,295.0,100.0,0,11578.0,7,12,2258.81260550444,-1497.5217052893104,17.0,24.9
1.123,90.74631584071494,295.41590865454543,100.0,0,11430.0751552,7,12,2284.0,-1527.0,17.0,24.9
1.464,118.98787048198287,297.74090996363634,100.0,0,10603.1496896,7,12,2466.0,-1740.0,17.0,24.9
1.502,122.14333333333332,298.0,100.0,0,10511.0,8,12,2486.783941001673,-1764.2737867483925,17.0,24.9
1.563,127.21110237439122,298.3812496,100.0,0,10552.1749568,8,12,2520.0,-1803.0,17.0,24.9
1.803,147.21641511904602,299.8812496,100.0,0,10714.1749568,8,12,2651.0,-1955.0,17.0,24.9
1.822,148.81,300.0,100.0,0,10727.0,8,12,2660.8501010190753,-1966.5122229662065,17.0,24.9
2.063,169.15044508347546,303.44285622857143,100.0,0,10806.185693257143,8,12,2792.0,-2121.0,17.0,24.9
2.102,172.45444444444442,304.0,100.0,0,10819.0,8,12,2819.852061926986,-2153.7377221905344,17.0,24.9
2.323,191.22167776373826,305.5785709714286,100.0,0,10845.046421028572,8,12,3001.0,-2366.0,17.0,24.9
2.382,196.25444444444443,306.0,100.0,0,10852.0,8,12,3044.161023169743,-2416.405499733208,17.0,24.9
2.683,222.08626219691655,308.8218744,100.0,0,10957.3499776,8,12,3213.0,-2613.0,17.0,24.9
2.702,223.72111111111107,309.0,100.0,0,10964.0,8,12,3220.881081691544,-2622.2099668456567,17.0,24.9
2.862,237.49888888888887,310.0,100.0,0,11003.0,8,12,3274.305680765693,-2684.9536287289275,17.0,24.9
3.064,254.92812452310363,310.6312504,100.0,0,11030.1437672,8,12,3347.0,-2770.0,17.0,24.9
3.182,265.1433333333333,311.0,100.0,0,11046.0,8,12,3411.931942299022,-2845.2256613323625,17.0,24.9
3.263,272.17435410228916,311.6749994666667,100.0,0,11068.949981866666,8,12,3460.0,-2901.0,17.0,24.9
3.422,286.01,313.0,100.0,0,11114.0,8,12,3551.8569202929657,-3008.3007956486317,17.0,24.9
3.543,296.55435939703216,313.5041664,100.0,0,11114.5041664,8,12,3618.0,-3086.0,17.0,24.9
3.662,306.9433333333333,314.0,100.0,0,11115.0,8,12,3679.314202777661,-3158.263212163164,17.0,24.9
3.743,314.02924676985305,314.5062496,100.0,0,11125.124992,8,12,3731.0,-3219.0,17.0,24.9
3.822,320.9433333333333,315.0,100.0,0,11135.0,8,12,3796.1503058588,-3295.285156590222,17.0,24.9
3.944,331.6144956056936,315.0,100.0,0,11136.515530142819,8,12,3902.0,-3419.0,17.0,24.9
3.983,335.0308333333333,315.0,100.0,0,11137.0,8,12,3928.979423814884,-3450.5257295246156,17.0,24.9
4.343,366.7308333333333,317.0,100.0,0,11184.0,8,12,4073.627908687456,-3621.578836054841,17.0,24.9
4.363,368.49608542743806,317.1,100.0,0,11186.9,8,12,4083.0,-3633.0,17.0,24.9
4.543,384.3975,318.0,100.0,0,11213.0,8,12,4184.006395195968,-3755.2279164055685,17.0,24.9
4.583,387.9366002878756,318.1114205929501,100.0,0,11217.345403125053,8,12,4208.0,-3782.0,17.0,24.9
4.603,389.70697238699495,318.16713088942515,100.0,0,11219.51810468758,8,12,4220.0,-3795.0,17.0,24.9
4.804,407.5233486208017,318.72701919072637,100.0,0,11241.353748438329,8,12,4335.0,-3930.0,17.0,24.9
4.902,416.20888888888885,319.0,100.0,0,11252.0,8,12,4390.79374693134,-3996.364416412339,17.0,24.9
5.102,433.9311111111111,319.0,100.0,0,11277.0,8,12,4505.78297255439,-4131.576652017756,17.0,24.9
5.144,437.6599876257541,319.2625008,100.0,0,11277.0,8,12,4530.0,-4160.0,17.0,24.9
5.262,448.15333333333325,320.0,100.0,0,11277.0,8,12,4598.129527126987,-4239.933317443593,17.0,24.9
5.324,453.6756882362658,320.2214281142857,100.0,0,11303.792801828571,8,12,4634.0,-4282.0,17.0,24.9
5.483,467.8584756584575,320.7892854857143,100.0,0,11372.503543771429,8,12,4726.0,-4390.0,17.0,24.9
5.542,473.11999999999995,321.0,100.0,0,11398.0,8,12,4759.8002195179915,-4429.936821568599,17.0,24.9
5.684,485.7800325658634,321.0,100.0,0,11421.0749792,8,12,4841.0,-4526.0,17.0,24.9
5.702,487.38666666666666,321.0,100.0,0,11424.0,8,12,4851.410832244745,-4538.231274481797,17.0,24.9
5.942,508.85333333333335,322.0,100.0,0,11363.0,8,12,4990.867510872016,-4700.681300754938,17.0,24.9
5.944,509.0322944413083,322.0,100.0,0,11363.24001536,8,12,4992.0,-4702.0,17.0,24.9
6.142,526.7422222222223,322.0,100.0,0,11387.0,8,12,5104.728346509002,-4833.648132080277,17.0,24.9
6.224,534.0735555659512,322.0,100.0,0,11401.0083552,8,12,5168.0,-4908.0,17.0,24.9
6.382,548.2088888888889,322.0,100.0,0,11428.0,8,12,5323.697608359772,-5091.6106756615145,17.0,24.9
6.424,551.9731280344618,322.17500053333333,100.0,0,11424.674989866666,8,12,5357.0,-5131.0,17.0,24.9
6.622,569.7422222222222,323.0,100.0,0,11409.0,8,12,5428.160019131827,-5216.044202366205,17.0,24.9
6.724,578.8906441759274,323.0,100.0,0,11406.4500032,8,12,5461.0,-5255.0,17.0,24.9
6.782,584.0977777777778,323.0,100.0,0,11405.0,8,12,5488.836452447257,-5287.70477189339,17.0,24.9
6.944,598.6779993574538,323.67500053333333,100.0,0,11399.599995733333,8,12,5589.0,-5406.0,17.0,24.9
7.022,605.6977777777778,324.0,100.0,0,11397.0,8,12,5637.3191633451825,-5464.692908455501,17.0,24.9
7.144,616.6601374392887,323.38999936,100.0,0,11401.88000512,8,12,5714.0,-5559.0,17.0,24.9
7.222,623.6422222222222,323.0,100.0,0,11405.0,8,10,5766.2011532227425,-5622.806521247434,17.0,24.9
7.424,641.5884178835553,320.4749984,100.0,0,11338.0874576,8,10,5898.0,-5799.0,17.0,24.9
7.542,651.9977777777777,319.0,100.0,0,11299.0,8,8,5955.317433561204,-5906.919761663381,17.0,24.9
7.702,666.0422222222222,316.0,100.0,0,11203.0,8,8,6008.66365995563,-6055.001577407361,17.0,24.9
7.843,678.356047210998,313.88500096,97.18000128,0,11116.28503936,8,8,6038.0,-6162.0,17.0,24.9
7.902,683.4311111111111,313.0,96.0,1,11080.0,8,8,6045.73551907351,-6198.551060705784,17.0,24.9
8.142,703.3644444444444,299.0,0.0,1,10493.0,8,8,6053.151816960273,-6320.2295910191915,17.0,24.9
8.183,706.6451251521764,295.75417173333335,0.0,1,10503.420817066666,8,8,6052.0,-6346.0,17.0,24.9
8.363,720.6012028475092,281.50417173333335,0.0,1,10549.170817066666,8,8,6037.0,-6489.0,17.0,24.9
8.382,722.031111111111,280.0,0.0,1,10554.0,8,8,6033.634147101235,-6507.627959782042,17.0,24.9
8.582,736.5311111111112,261.0,0.0,1,11113.0,7,8,5978.635269664131,-6733.781916001248,17.0,24.9
8.643,740.7087213923807,255.33572022857143,0.0,1,11067.250048,7,8,5962.0,-6793.0,17.0,24.9
8.862,754.8088888888889,235.0,0.0,1,10903.0,7,8,5916.390945979565,-6929.283917524472,17.0,24.9
9.084,767.9908318202813,219.58334222222223,0.0,1,10597.133509688889,7,8,5881.0,-7002.0,17.0,24.9
9.222,775.8088888888889,210.0,0.0,1,10407.0,5,8,5858.489020762596,-7043.012455921087,17.0,24.9
9.384,784.7364157868162,202.9124944,0.0,1,10054.6497216,5,8,5820.0,-7094.0,17.0,24.9
9.542,793.2311111111111,196.0,0.0,1,9711.0,5,8,5756.030374070529,-7155.016561345893,17.0,24.9
