CircuitA,CircuitB,MeanDifference_s,P2_5_s,MedianDifference_s,P97_5_s,P_A_gt_B,ProbabilitySE
Bahrain,Monaco,-0.194626092551109,-0.457002746909361,-0.197557806658295,0.0805770480613259,0.0935,0.00650990591329859
Bahrain,Monza,0.668843490193273,0.402242244975634,0.679082360435217,0.885665297650902,1,0
Bahrain,Silverstone,-1.57371225322736,-1.69110458975357,-1.60448571566405,-1.2761429146846,0,0
Bahrain,Suzuka,-2.10585631609719,-2.26145681946308,-2.12925780098136,-1.85969739981861,0,0
Monaco,Monza,0.863469582744382,0.356853882957288,0.870903204099896,1.32649090755442,1,0
Monaco,Silverstone,-1.37908616067625,-1.51354931817727,-1.39097926208655,-1.20306009407538,0,0
Monaco,Suzuka,-1.91123022354608,-2.22822359332408,-1.94563089884414,-1.43050124467511,0,0
Monza,Silverstone,-2.24255574342063,-2.55239002568171,-2.2849708277353,-1.70132764279858,0,0
Monza,Suzuka,-2.77469980629046,-2.8618367601345,-2.80534191853436,-2.46469214302872,0,0
Silverstone,Suzuka,-0.532144062869833,-0.795188606244146,-0.543069999468941,-0.206141080293419,0.001,0.000706753139363385
