Scenario,Circuit,Samples,ObservedLapTime_s,IdealizedThermalLap_s,ModeledGripDeficit_s,DeficitPctLap,Deficit_s_per_km,PeakEffectiveState_C,MeanEffectiveState_C,PercentInNominalWindow,MeanMuRatio,MinMuRatio,MaxGripLossPct,AirTemp_C,TrackTemp_C,Iterations,Converged
thermalCapacity_low,Bahrain,5366,89.1288278537029,92.9992854147485,3.87045756104555,4.34254287221029,0.721427317995444,217.288978334022,152.93558579407,33.6936265374581,0.870085805705945,0.800049302004746,19.9950697995254,17.9,20.9,3,1
thermalCapacity_low,Monaco,3286,70.3546961248182,74.612613604986,4.25791748016781,6.05207287458639,1.2961697047695,201.645186965781,147.691944850646,26.6585514303104,0.870739329261147,0.800360549940096,19.9639450059904,21.2,43.3,4,1
thermalCapacity_low,Monza,5750,79.7082519464033,82.7831482105108,3.07489626410749,3.85768874491827,0.534857586381544,227.54317327008,153.867895379854,34.7826086956522,0.86918011113913,0.800011544894713,19.9988455105287,33.7,47.9,4,1
thermalCapacity_low,Silverstone,5835,86.2229050259603,91.7732497492465,5.55034472328622,6.43720450107207,0.9513789378276,253.91239872795,172.148042019726,19.4344473007712,0.849936703304813,0.800000161466854,19.9999838533145,14.4,21.7,4,1
thermalCapacity_low,Suzuka,5767,88.1596249892324,94.057718662772,5.89809367353965,6.69024360557345,1.02290906582373,256.149639648198,180.076233781986,20.8253858158488,0.845151145482306,0.80000010847189,19.999989152811,17,24.9,4,1
thermalCapacity_high,Bahrain,5366,89.1288278537029,91.6921661054522,2.56333825174929,2.87599232871858,0.477789049720277,170.947688843896,127.232304387731,45.9187476705181,0.905004943586575,0.808116056178798,19.1883943821202,17.9,20.9,3,1
thermalCapacity_high,Monaco,3286,70.3546961248182,72.9638028330912,2.60910670827302,3.70850398336471,0.794248617434709,160.095551870499,123.514486752216,52.1606816798539,0.917816850012866,0.818995252957153,18.1004747042847,21.2,43.3,4,1
thermalCapacity_high,Monza,5750,79.7082519464033,81.6890356853631,1.9807837389598,2.48504225170024,0.34454404921896,172.693712047405,125.197669090393,45.5304347826087,0.908705614730318,0.806992304621061,19.3007695378939,33.7,47.9,4,1
thermalCapacity_high,Silverstone,5835,86.2229050259603,90.2986862724448,4.07578124648448,4.72702844477037,0.698625513624354,193.786930154658,138.63411286266,34.6529562982005,0.885139959856892,0.800884024791551,19.9115975208449,14.4,21.7,3,1
thermalCapacity_high,Suzuka,5767,88.1596249892324,92.8992801571667,4.73965516793439,5.37621974743345,0.8220005494163,198.402520147165,145.222742546973,30.1369863013699,0.870981117226274,0.80052638219194,19.9473617808059,17,24.9,3,1
coolingBase_low,Bahrain,5366,89.1288278537029,92.3564193736729,3.22759151996999,3.62126552956334,0.601601401671946,191.526772150935,138.259121663952,37.7189713007827,0.886447472477975,0.801129724928082,19.8870275071918,17.9,20.9,3,1
coolingBase_low,Monaco,3286,70.3546961248182,73.7859999955856,3.43130387076744,4.87714972811462,1.04453694696117,178.302773828279,133.720137937408,36.1533779671333,0.893894390412127,0.804233892319972,19.5766107680028,21.2,43.3,4,1
coolingBase_low,Monza,5750,79.7082519464033,82.2335998805436,2.52534793414031,3.16823901223977,0.439267339387774,196.423967278381,137.080558051287,38.1217391304348,0.887423430209676,0.800659295613638,19.9340704386362,33.7,47.9,4,1
coolingBase_low,Silverstone,5835,86.2229050259603,91.0555848711853,4.83267984522499,5.60486780603129,0.828364731783508,220.667978290237,152.963098086834,32.2365038560411,0.866411430236933,0.800030953758864,19.9969046241136,14.4,21.7,3,1
coolingBase_low,Suzuka,5767,88.1596249892324,93.5169149221657,5.35728993293331,6.07680662614847,0.92911722735576,224.463643798349,160.115277729321,25.5245361539795,0.856977962217872,0.800018074418737,19.9981925581263,17,24.9,4,1
coolingBase_high,Bahrain,5366,89.1288278537029,92.2693133894045,3.14048553570156,3.52353510230875,0.585365430699265,187.271070339055,136.316676214645,38.8184867685427,0.888873488430682,0.801765342831178,19.8234657168822,17.9,20.9,3,1
coolingBase_high,Monaco,3286,70.3546961248182,73.6881856500415,3.33348952522327,4.738119427464,1.01476089047893,174.776286281807,132.211833566884,36.457699330493,0.896786866032067,0.805827684026937,19.4172315973063,21.2,43.3,4,1
coolingBase_high,Monza,5750,79.7082519464033,82.1794144422374,2.47116249583415,3.10025930250708,0.429842145735632,192.697338171035,135.482706303706,39.6,0.889478590929619,0.800995676802086,19.9004323197914,33.7,47.9,4,1
coolingBase_high,Silverstone,5835,86.2229050259603,90.97172878086,4.74882375489969,5.5076128013431,0.81399104472055,215.40129750045,150.70144597207,32.2879177377892,0.868489051087786,0.800063591311263,19.9936408688737,14.4,21.7,3,1
coolingBase_high,Suzuka,5767,88.1596249892324,93.4669394057339,5.3073144165015,6.02011909323539,0.920449950832726,218.966111387516,157.830186068407,25.6459164210161,0.858066322649658,0.800039193812228,19.9960806187772,17,24.9,4,1
coolingSpeed_low,Bahrain,5366,89.1288278537029,92.4191977579976,3.29036990429464,3.69170108429507,0.613302871257155,194.813405069919,139.745414810624,37.3462541930675,0.884767645776855,0.800789366335654,19.9210633664346,17.9,20.9,3,1
coolingSpeed_low,Monaco,3286,70.3546961248182,73.836114863562,3.48141873874383,4.94838145923812,1.05979261453389,180.117203068835,134.524415971626,36.0012172854534,0.89242883360456,0.803572807379305,19.6427192620695,21.2,43.3,4,1
coolingSpeed_low,Monza,5750,79.7082519464033,82.281184437616,2.57293249121274,3.22793741975775,0.447544354011609,200.221034135699,138.632064387759,37.2347826086957,0.88565566992159,0.800426348969189,19.9573651030811,33.7,47.9,4,1
coolingSpeed_low,Silverstone,5835,86.2229050259603,91.1211434705373,4.898238444577,5.68090166192176,0.839602064548681,225.412242519011,155.017410325863,32.1508140531277,0.864802516700612,0.800015761073565,19.9984238926435,14.4,21.7,3,1
coolingSpeed_low,Suzuka,5767,88.1596249892324,93.5597212933061,5.40009630407374,6.12536215385818,0.936541155753337,229.028667918412,162.081429298529,25.420495925091,0.856056031959168,0.800009265041129,19.9990734958871,17,24.9,4,1
coolingSpeed_high,Bahrain,5366,89.1288278537029,92.2016110169191,3.0727831632162,3.44757497345292,0.57274616276164,184.174571422733,134.896715930145,39.5080134178159,0.890740309717693,0.802412061331778,19.7587938668222,17.9,20.9,3,1
coolingSpeed_high,Monaco,3286,70.3546961248182,73.6345050477273,3.27980892290911,4.6618194712835,0.998419763442652,173.041738987907,131.432306223212,36.6402921485088,0.898361753089604,0.806784896369768,19.3215103630232,21.2,43.3,4,1
coolingSpeed_high,Monza,5750,79.7082519464033,82.1276503050991,2.41939835869579,3.03531729728889,0.42083812118556,189.092392003065,133.98970266815,41.0086956521739,0.891467453635843,0.80146195400989,19.853804599011,33.7,47.9,4,1
coolingSpeed_high,Silverstone,5835,86.2229050259603,90.8988022329775,4.67589720701719,5.4230337119926,0.801490779399586,210.930425744344,148.731186981399,32.5278491859469,0.870309641881455,0.800114374911437,19.9885625088563,14.4,21.7,3,1
coolingSpeed_high,Suzuka,5767,88.1596249892324,93.4193572610001,5.25973227176775,5.96614637642817,0.912197757850806,214.68051252303,155.951741175679,25.8019767643489,0.859102767958485,0.800070008332382,19.9929991667618,17,24.9,4,1
trackExchange_low,Bahrain,5366,89.1288278537029,92.4157820166767,3.28695416297374,3.68786872006102,0.612666199995106,194.685693497265,139.680299885424,37.3462541930675,0.884814882149149,0.800800618978945,19.9199381021055,17.9,20.9,3,1
trackExchange_low,Monaco,3286,70.3546961248182,73.8294456796174,3.47474955479925,4.93890208641453,1.05776242155228,180.172600557946,134.452420369538,36.0620815581254,0.892609128172619,0.803554131619821,19.6445868380179,21.2,43.3,4,1
trackExchange_low,Monza,5750,79.7082519464033,82.2602014462439,2.55194949984059,3.20161267814096,0.443894503364166,198.634306744755,137.955969099971,37.704347826087,0.886409756299152,0.800512534152904,19.9487465847096,33.7,47.9,4,1
trackExchange_low,Silverstone,5835,86.2229050259603,91.1084368195047,4.88553179354439,5.66616468335581,0.837424030432703,224.387911575838,154.515242591228,32.1679520137104,0.865109609096211,0.800018272339048,19.9981727660952,14.4,21.7,3,1
trackExchange_low,Suzuka,5767,88.1596249892324,93.5475841888658,5.38795919963341,6.11159496231012,0.934436212215299,228.347474796689,161.683784905179,25.4551760013872,0.856311713769677,0.800010251605146,19.9989748394854,17,24.9,3,1
trackExchange_high,Bahrain,5366,89.1288278537029,92.2051081930825,3.07628033937958,3.45149870525507,0.573398012931888,184.304761313618,134.964443503509,39.4707417070444,0.890690164116292,0.802381124139311,19.7618875860689,17.9,20.9,3,1
trackExchange_high,Monaco,3286,70.3546961248182,73.6417220087149,3.2870258838967,4.67207743753892,1.0006167074267,173.014560171977,131.512175223672,36.5794278758369,0.898164591452823,0.806800902794044,19.3199097205956,21.2,43.3,4,1
trackExchange_high,Monza,5750,79.7082519464033,82.1510363052537,2.44278435885042,3.06465679424631,0.424905959097307,190.595602989136,134.641139485155,40.0869565217391,0.890587357959279,0.801247775285264,19.8752224714736,33.7,47.9,4,1
trackExchange_high,Silverstone,5835,86.2229050259603,90.9141041595571,4.69119913359683,5.44078065124851,0.80411366705465,211.892412471511,149.214933882179,32.5107112253642,0.869928888157527,0.800100993139989,19.9899006860011,14.4,21.7,3,1
trackExchange_high,Suzuka,5767,88.1596249892324,93.4327558704012,5.27313088116884,5.9813445007427,0.914521484767402,215.317455246118,156.333274502747,25.7326166117565,0.858815581335304,0.800064308337708,19.9935691662292,17,24.9,4,1
Topt_low,Bahrain,5366,89.1288278537029,92.8202501417986,3.69142228809568,4.14167040786716,0.688056344472634,188.597625863585,136.663363406804,33.8613492359299,0.876167760348991,0.800514703175537,19.9485296824463,17.9,20.9,3,1
Topt_low,Monaco,3286,70.3546961248182,74.3632292393504,4.0085331145322,5.69760561174275,1.22025361172974,175.645654897864,132.343200320414,27.8454047474133,0.877346447950695,0.802082398349661,19.7917601650339,21.2,43.3,4,1
Topt_low,Monza,5750,79.7082519464033,82.6501993387535,2.94194739235023,3.69089438108419,0.511732021629889,195.73539642233,136.77134706328,34.9391304347826,0.87596909170863,0.80022000894168,19.977999105832,33.7,47.9,4,1
Topt_low,Silverstone,5835,86.2229050259603,91.5535394739243,5.33063444796396,6.18238790070805,0.91371862323688,217.938781654173,151.574277031141,20.3084832904884,0.855560746345155,0.800010890545771,19.9989109454229,14.4,21.7,3,1
Topt_low,Suzuka,5767,88.1596249892324,93.8770485620307,5.71742357279834,6.48530840903265,0.99157536815788,220.733516969118,158.067462228128,21.1028264262181,0.850843059429077,0.800007176029137,19.9992823970863,17,24.9,4,1
Topt_high,Bahrain,5366,89.1288278537029,91.8925951872306,2.76376733352764,3.10086803572029,0.515147685652868,190.577665825392,138.296203592467,42.5456578456951,0.8958430392247,0.803420154624982,19.6579845375018,17.9,20.9,4,1
Topt_high,Monaco,3286,70.3546961248182,73.1390403666438,2.78434424182558,3.95758122085525,0.847593376507026,177.298068691218,133.411663508056,51.9172245891662,0.911635853818669,0.810961865895265,18.9038134104735,21.2,43.3,4,1
Topt_high,Monza,5750,79.7082519464033,81.8468842741595,2.13863232775626,2.68307518422847,0.372000752784181,193.71333742723,136.353730840827,44.4173913043478,0.898503134801932,0.802524552706975,19.7475447293025,33.7,47.9,4,1
Topt_high,Silverstone,5835,86.2229050259603,90.5301689093272,4.30726388336691,4.99549844913027,0.738303716723846,218.223765081902,152.365238740018,33.9845758354756,0.878035592035469,0.800161428285329,19.9838571714671,14.4,21.7,4,1
Topt_high,Suzuka,5767,88.1596249892324,93.1235339622447,4.96390897301239,5.63059220546671,0.86089298872917,222.735126136191,159.968254817449,29.6688052713716,0.862790246420447,0.80009048698424,19.990951301576,17,24.9,3,1
sigma_low,Bahrain,5366,89.1288278537029,92.8743474157888,3.74551956208585,4.20236600467111,0.698139713343121,189.000948491861,137.167050704936,34.4576966082743,0.871738025734065,0.800032426725677,19.9967573274323,17.9,20.9,4,1
sigma_low,Monaco,3286,70.3546961248182,74.4452804542489,4.0905843294307,5.81423068358291,1.24523115051163,175.833922484324,132.557355472443,31.223371880706,0.875027877365811,0.800315014228237,19.9684985771763,21.2,43.3,4,1
sigma_low,Monza,5750,79.7082519464033,82.6641505503884,2.95589860398516,3.70839722588916,0.51415874134374,196.55949965143,137.516423287122,35.2,0.870985906505978,0.800007531378613,19.9992468621387,33.7,47.9,4,1
sigma_low,Silverstone,5835,86.2229050259603,91.6411597143783,5.41825468841802,6.28400850886046,0.928737519440867,218.569040606239,152.21103439496,21.2339331619537,0.852254613210086,0.800000056431646,19.9999943568354,14.4,21.7,4,1
sigma_low,Suzuka,5767,88.1596249892324,93.9533606084978,5.79373561926543,6.57186962849838,1.00481020105193,221.207292818007,158.624018406292,22.1952488295474,0.84595981853155,0.80000002943524,19.999997056476,17,24.9,3,1
sigma_high,Bahrain,5366,89.1288278537029,91.7994634509145,2.67063559721161,2.99637688671866,0.497788554932267,189.741865084557,137.462107908547,40.6634364517331,0.902880577780389,0.808222244565757,19.1777755434243,17.9,20.9,3,1
sigma_high,Monaco,3286,70.3546961248182,73.1139609170705,2.75926479225234,3.92193406301841,0.839958840868292,177.152096095921,133.280530070186,48.5088253195374,0.913556006798722,0.818150256511898,18.1849743488102,21.2,43.3,4,1
sigma_high,Monza,5750,79.7082519464033,81.7861930177366,2.07794107133336,2.60693343611473,0.361443915695487,192.497106316206,135.308083730059,43.7565217391304,0.905899086320286,0.806810857243308,19.3189142756692,33.7,47.9,4,1
sigma_high,Silverstone,5835,86.2229050259603,90.4250710960692,4.20216607010892,4.87360762067076,0.720289007560664,217.208126337818,151.444886582449,33.5389888603256,0.882316681357645,0.800988226812916,19.9011773187084,14.4,21.7,3,1
sigma_high,Suzuka,5767,88.1596249892324,93.0035966573129,4.84397166808053,5.49454658940775,0.840092207436789,222.094018963392,159.279840584422,29.2699843939657,0.869294827020861,0.800640867668345,19.9359132331655,17,24.9,4,1
residual_low,Bahrain,5366,89.1288278537029,93.2403263271645,4.11149847346158,4.61298389361772,0.766355726647079,189.427807169138,137.148143792172,38.1475959746552,0.859804578077033,0.751764360443314,24.8235639556686,17.9,20.9,3,1
residual_low,Monaco,3286,70.3546961248182,74.7010390737898,4.34634294897165,6.17775811476847,1.32308765569913,175.916386960513,132.655312159977,36.3664029214851,0.869807414866846,0.756579654309778,24.3420345690222,21.2,43.3,4,1
residual_low,Monza,5750,79.7082519464033,82.9725773939778,3.26432544757455,4.09534190985586,0.567807522625596,198.265025512327,137.487573606907,38.4173913043478,0.859193639800155,0.750668447319256,24.9331552680744,33.7,47.9,4,1
residual_low,Silverstone,5835,86.2229050259603,92.4550384145251,6.23213338856482,7.22793251594623,1.06824363876668,220.139583596531,152.59690976046,32.2536418166238,0.834022800534784,0.750041648410576,24.9958351589424,14.4,21.7,4,1
residual_low,Suzuka,5767,88.1596249892324,95.0836216364956,6.92399664726327,7.85393160203319,1.20083188471441,222.646289305431,158.854607972094,25.5938963065719,0.822179302485027,0.750029289526342,24.9970710473658,17,24.9,4,1
residual_high,Bahrain,5366,89.1288278537029,90.6307031626844,1.5018753089815,1.68506121436567,0.279939479772879,189.686786098161,137.708019454194,37.9798732761834,0.943537117982261,0.900686800283536,9.93131997164638,17.9,20.9,3,1
residual_high,Monaco,3286,70.3546961248182,71.9647083473762,1.610012222558,2.28842182716791,0.490110265618873,178.254788419158,133.731807663655,36.2142422398052,0.947049494173066,0.90212636669127,9.78736333087302,21.2,43.3,3,1
residual_high,Monza,5750,79.7082519464033,80.8581402752243,1.14988832882108,1.44262143597664,0.200015364206136,187.497240450255,134.04083728932,39.6521739130435,0.945370141532144,0.900862415229043,9.91375847709568,33.7,47.9,3,1
residual_high,Silverstone,5835,86.2229050259603,88.4486222484594,2.22571722249913,2.58135262530183,0.381507922951513,213.584697181852,150.242276858238,32.2879177377892,0.933945495540421,0.900040468329641,9.99595316703594,14.4,21.7,3,1
residual_high,Suzuka,5767,88.1596249892324,90.6459634485482,2.4863384593158,2.82026886981368,0.431206808760979,219.920179749369,159.259486108819,25.5765562684238,0.928511740094681,0.900017174960113,9.99828250398867,17,24.9,3,1
