Circuit,Parameter,SRC
Bahrain,ThermalCapacity,-0.454397460673978
Bahrain,CoolingBase,-0.049047800661955
Bahrain,CoolingSpeed,-0.112991985393806
Bahrain,TrackExchange,-0.0849237043455132
Bahrain,Topt,-0.33799414017225
Bahrain,Sigma,-0.366291103587181
Bahrain,HeatScale,0.719891309375888
Monaco,ThermalCapacity,-0.469817183073364
Monaco,CoolingBase,-0.0442092992345266
Monaco,CoolingSpeed,-0.0854641819704342
Monaco,TrackExchange,-0.061267799946773
Monaco,Topt,-0.36604260364591
Monaco,Sigma,-0.367565116597082
Monaco,HeatScale,0.70430856659562
Monza,ThermalCapacity,-0.467705084812366
Monza,CoolingBase,-0.0390061675923094
Monza,CoolingSpeed,-0.100489966831785
Monza,TrackExchange,-0.0564290593223208
Monza,Topt,-0.362317978612793
Monza,Sigma,-0.370442389601065
Monza,HeatScale,0.703737084673294
Silverstone,ThermalCapacity,-0.460784723161378
Silverstone,CoolingBase,-0.0458020004577502
Silverstone,CoolingSpeed,-0.106302864914104
Silverstone,TrackExchange,-0.0737394304646607
Silverstone,Topt,-0.334998465328708
Silverstone,Sigma,-0.372234958008232
Silverstone,HeatScale,0.706679158079896
Suzuka,ThermalCapacity,-0.472194558672262
Suzuka,CoolingBase,-0.0411577535343341
Suzuka,CoolingSpeed,-0.0895152622938415
Suzuka,TrackExchange,-0.0619907219918007
Suzuka,Topt,-0.322021611178541
Suzuka,Sigma,-0.382032197964679
Suzuka,HeatScale,0.6868315466557
